[23:30:57] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:30:58] Can't kekulize mol.  Unkekulized atoms: 2 5

[23:31:03] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:31:09] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:31:14] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 11

[23:31:15] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:31:17] Can't kekulize mol.  Unkekulized atoms: 3 8 11 13 14 15

[23:31:21] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:31:26] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:31:26] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:31:30] Can't kekulize mol.  Unkekulized atoms: 3 8 11 13 14 15

[23:31:39] Can't kekulize mol.  Unkekulized atoms: 0 1 2 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23

[23:31:43] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:31:44] Can't kekulize mol.  Unkekulized atoms: 3 8 12 15 16 19 20 23

[23:31:55] Can't kekulize mol.  Unkekulized atoms: 3 8 11 14 17 18

[23:31:57] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:31:59] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:32:02] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:32:02] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:32:11] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:32:14] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:32:14] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:32:23] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:32:24] Can't kekulize mol.  Unkekulized atoms: 2 5

[23:32:25] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:32:34] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:32:34] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:32:39] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:32:40] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:32:40] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:32:40] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:32:40] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:32:41] Can't kekulize mol.  Unkekulized atoms: 2 5

[23:32:42] Can't kekulize mol.  Unkekulized atoms: 3 8

[23:32:57] Can't kekulize mol.  Unkekulized atoms: 0 2 4 6 7 9

[05/10/20 23:33:01 standardiser.neutralise WARNING] zwitterion with more negative charges than quaternary positive centres detected
[05/10/20 23:33:03 standardiser.neutralise WARNING] zwitterion with more negative charges than quaternary positive centres detected
[05/10/20 23:33:03 standardiser.neutralise WARNING] zwitterion with more negative charges than quaternary positive centres detected
[23:33:05] Can't kekulize mol.  Unkekulized atoms: 3 10

[05/10/20 23:33:05 standardiser.neutralise WARNING] zwitterion with more negative charges than quaternary positive centres detected
[23:33:14] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:33:35] Can't kekulize mol.  Unkekulized atoms: 3 8

[23:33:35] Can't kekulize mol.  Unkekulized atoms: 3 8

[01:02:00] Can't kekulize mol.  Unkekulized atoms: 3 5

[01:02:05] Can't kekulize mol.  Unkekulized atoms: 3 5

[01:02:10] Can't kekulize mol.  Unkekulized atoms: 2 5

[01:02:10] Can't kekulize mol.  Unkekulized atoms: 3 11

[01:02:31] Can't kekulize mol.  Unkekulized atoms: 3 5

[01:02:42] Can't kekulize mol.  Unkekulized atoms: 3 5

[01:02:43] Can't kekulize mol.  Unkekulized atoms: 3 7

[01:02:44] Can't kekulize mol.  Unkekulized atoms: 3 7 8 10 11 12 13 14

[01:02:57] Can't kekulize mol.  Unkekulized atoms: 3 11

[01:03:01] Can't kekulize mol.  Unkekulized atoms: 0 2 5 6 7

[01:03:05] Can't kekulize mol.  Unkekulized atoms: 3 5

[01:03:07] Can't kekulize mol.  Unkekulized atoms: 2 5

[01:03:07] Can't kekulize mol.  Unkekulized atoms: 3 10

[01:03:08] Can't kekulize mol.  Unkekulized atoms: 3 10

[01:03:23] Can't kekulize mol.  Unkekulized atoms: 3 5

[01:03:40] Can't kekulize mol.  Unkekulized atoms: 0 2 4 5 6 9

[01:03:45] Can't kekulize mol.  Unkekulized atoms: 3 12

[01:03:47] Can't kekulize mol.  Unkekulized atoms: 2 5

[01:03:47] Can't kekulize mol.  Unkekulized atoms: 3 13

[01:03:49] Can't kekulize mol.  Unkekulized atoms: 3 7

[01:03:54] Can't kekulize mol.  Unkekulized atoms: 3 9

[01:04:05] Can't kekulize mol.  Unkekulized atoms: 2 5

[01:04:05] Can't kekulize mol.  Unkekulized atoms: 3 10

[01:04:07] Can't kekulize mol.  Unkekulized atoms: 3 11

[01:04:18] Can't kekulize mol.  Unkekulized atoms: 3 5

[06/10/20 01:04:29 standardiser.neutralise WARNING] zwitterion with more negative charges than quaternary positive centres detected
[01:04:29] Can't kekulize mol.  Unkekulized atoms: 3 5

[01:04:39] Can't kekulize mol.  Unkekulized atoms: 3 5

[01:04:45] Can't kekulize mol.  Unkekulized atoms: 3 8

[01:04:51] Can't kekulize mol.  Unkekulized atoms: 3 5

[01:04:56] Can't kekulize mol.  Unkekulized atoms: 3 6 7 8 10 12

[01:04:57] Can't kekulize mol.  Unkekulized atoms: 3 5 6 7 8 9 10 11 12 13

[01:05:02] Can't kekulize mol.  Unkekulized atoms: 3 11 12 14 15 17

[01:05:10] Can't kekulize mol.  Unkekulized atoms: 2 5

[01:05:10] Can't kekulize mol.  Unkekulized atoms: 3 12

[01:05:14] Can't kekulize mol.  Unkekulized atoms: 3 7

[01:05:14] Can't kekulize mol.  Unkekulized atoms: 2 5

[01:05:14] Can't kekulize mol.  Unkekulized atoms: 3 9

[01:05:16] Can't kekulize mol.  Unkekulized atoms: 3 8

[01:05:16] Can't kekulize mol.  Unkekulized atoms: 3 11

